ID,type,text
18501,units_of_time,30 days
18502,units_of_time,90 days
2155,proverbs,A bad excuse is better then none.
2350,proverbs,A bad penny always comes back.
2227,proverbs,A bad workman blames his tools.
23611,sentences,A big wet stain was on the round carpet.
2252,proverbs,A bird in the hand is worth two in the bush.
2253,proverbs,A bird makes his nest little by little.
23301,sentences,A blue crane is a tall wading bird.
23604,sentences,A bowl of rice is free with chicken stew.
23657,sentences,A break in the dam almost caused a flood.
23654,sentences,A brown leather bag hung from its strap.
2061,proverbs,A bully is always a coward.
23444,sentences,A castle built from sand fails to endure.
2254,proverbs,A cat has nine lives.
2286,proverbs,A chain is no stronger than its weakest link.
2186,proverbs,A change is as good as a rest.
23445,sentences,A child's wit saved the day for us.
23511,sentences,A chink in the wall allowed a draft to blow.
23548,sentences,A clean neck means a neat collar.
23381,sentences,A cloud of dust stung his tender eyes.
23513,sentences,A cold dip restores health and zest.
23228,sentences,A cramp is no small danger on a swim.
23729,sentences,A cruise in warm waters in a sleek yacht is fun.
23155,sentences,A cup of sugar makes sweet fudge.
23366,sentences,A dash of pepper spoils beef stew.
2109,proverbs,A drowning man will clutch at a straw.
23577,sentences,A fence cuts through the corner lot.
23261,sentences,A filing case is now hard to buy.
23779,sentences,A flat pack takes less luggage space.
2418,proverbs,A fool and his money are soon parted.
2419,proverbs,A fool in a gown is none the wiser.
2154,proverbs,A fool uttereth all his mind.
23594,sentences,A force equal to that would move the earth.
23302,sentences,A fresh start will work such wonders.
1975,proverbs,A friend in need is a friend indeed.
1976,proverbs,A friend is easier lost than found.
1977,proverbs,A friend to everybody is a friend to nobody.
1974,proverbs,A friend's frown is better than a fool's smile.
23569,sentences,A fur muff is stylish once more.
23436,sentences,A gem in the rough needs work to polish.
23808,sentences,A gold ring will please most any girl.
2381,proverbs,A good conscience is a soft pillow.
2019,proverbs,A good friend is one's nearest relation.
2228,proverbs,A good reputation is a fair estate.
2063,proverbs,A good thing is all the sweeter when won with pain.
2382,proverbs,A good thing is soon snatched up.
23540,sentences,A gray mare walked before the colt.
2062,proverbs,A handsome shoe often pinches the foot.
23379,sentences,A joy to every child is the swan boat.
23138,sentences,A king ruled the state in the early days.
23216,sentences,A lame back kept his score low.
23489,sentences,A lathe cuts and trims any wood.
2351,proverbs,A light purse makes a heavy heart.
2324,proverbs,A little body doth often harbour a great soul.
2352,proverbs,A little each day is much in a year.
2383,proverbs,A little knowledge is a dangerous thing.
1992,proverbs,A loveless life is a living death.
23588,sentences,A man in a blue sweater sat at the desk.
2020,proverbs,A man is known by the company he keeps.
2021,proverbs,A man of straw needs a woman of gold.
2064,proverbs,A man too careful of danger lives in continual torment.
2353,proverbs,A man's intentions seldom add to his income.
2065,proverbs,A miss is as good as a mile.
23318,sentences,A pencil with black lead writes best.
2354,proverbs,A penny saved is a penny earned.
23811,sentences,A pink shell was found on the sandy beach.
23698,sentences,A plea for funds seems to come again.
23498,sentences,A pod is what peas always grow in.
2325,proverbs,A point is the beginning of magnitude.
2355,proverbs,A poor man is better than a liar.
23113,sentences,A pot of tea helps to pass the evening.
23190,sentences,A pound of sugar costs more than eggs.
1978,proverbs,A problem shared is a problem halved.
23584,sentences,A quart of milk is water for the most part.
23266,sentences,A rag will soak up spilled water.
23625,sentences,A rich farm is rare in this sandy waste.
23454,sentences,A ripe plum is fit for a king's palate.
23109,sentences,A rod is used to catch pink salmon.
2287,proverbs,A rolling stone gathers no moss.
23663,sentences,A round hole was drilled through the thin board.
23763,sentences,A round mat will cover the dull spot.
23240,sentences,A salt pickle tastes fine with ham.
23475,sentences,A sash of gold silk will trim her dress.
23152,sentences,A saw is a tool used for making boards.
23815,sentences,A severe storm tore down the barn.
2327,proverbs,A short cut is often a wrong cut.
23267,sentences,A shower of dirt fell from the hot pipes.
23479,sentences,A siege will crack the strong defense.
2356,proverbs,A single penny fairly got is worth a thousand that are not.
23706,sentences,A six comes up more often than a ten.
23162,sentences,A small creek cut across the field.
23750,sentences,A smatter of French is worse than none.
2326,proverbs,A spark can start a great fire.
23249,sentences,A speedy man can beat this track mark.
23712,sentences,A steep trail is painful for our feet.
23695,sentences,A stiff cord will do to fasten your shoe.
2187,proverbs,A stitch in time saves nine.
23730,sentences,A streak of color ran down the left edge.
23629,sentences,A strong bid may scare your partner stiff.
23781,sentences,A stuffed chair slipped from the moving van.
23687,sentences,A sullen smile gets few friends.
23173,sentences,A tame squirrel makes a nice pet.
23636,sentences,A thick coat of black paint covered all.
23783,sentences,A thin book fits in the side pocket.
23705,sentences,A thin stripe runs down the middle.
23634,sentences,A thing of small note can cause despair.
2188,proverbs,A throne is only a bench covered in purple velvet.
23655,sentences,A toad and a frog are hard to tell apart.
1979,proverbs,"A true friend is someone who reaches for your hand, but touches your heart."
23195,sentences,A tusk is used to make costly gifts.
23666,sentences,A vent near the edge brought in fresh air.
23336,sentences,A waxed floor makes us lose balance.
23720,sentences,A whiff of it will cure the most stubborn cold.
23656,sentences,A white silk jacket goes with any shoes.
2022,proverbs,"A wink is as good as a nod, to a blind man."
2420,proverbs,"A wise man doesn't need advice, and a fool won't take it."
2189,proverbs,A wise man shall hold his tongue till he sees his opportunity.
23189,sentences,A wisp of cloud hung in the blue air.
23168,sentences,A yacht slid around the point into the bay.
23282,sentences,A young child should not suffer fright.
23367,sentences,A zestful food is the hot-cross bun.
1993,proverbs,Absence makes the heart grow fonder.
2190,proverbs,Accidents will happen.
23278,sentences,Acid burns holes in wool cloth.
23205,sentences,Act on these orders with great speed.
2156,proverbs,Actions speak louder than words.
23341,sentences,Add salt before you fry the egg.
23283,sentences,Add the column and put the sum here.
23277,sentences,Add the store's account to the last cent.
23202,sentences,Add the sum to the product of these three.
23150,sentences,Adding fast leads to wrong sums.
2067,proverbs,Adversity and loss make a man wise.
2066,proverbs,Adversity flatters no man.
2421,proverbs,Advice when most needed is least heeded.
2107,proverbs,"After dinner rest a while, after supper walk a mile."
23304,sentences,After the dance they went straight home.
2288,proverbs,After the storm comes the calm.
2289,proverbs,All aren't hunters that blow the horn.
2255,proverbs,All cats are grey in the dark.
2068,proverbs,All promises are either broken or kept.
23380,sentences,All sat frozen and watched the screen.
2069,proverbs,All things come to those that wait.
2229,proverbs,All work and no play makes Jack a dull boy.
1994,proverbs,All's fair in love and war.
2191,proverbs,All's well that ends well.
23186,sentences,Always close the barn door tight.
2422,proverbs,"Always in a hurry, always behind."
2357,proverbs,Always you are to be rich next year.
23262,sentences,An abrupt start does not win the prize.
2108,proverbs,An apple a day keeps the doctor away.
2256,proverbs,An elephant never forgets.
2070,proverbs,An eye for an eye and a tooth for a tooth.
